x,d03
4.09291,0.23124
4.08367,0.23126
4.34062,0.31277
4.58759,0.42666
4.83733,0.56586
5.09087,0.75834

x,d05
3.08122,0.07907
3.08489,0.07906
3.3417,0.15822
3.59513,0.36562
3.83768,0.6181
4.08752,0.85671
4.34465,1.07797
4.58704,1.2646
4.83651,1.34031
5.09298,1.27389

x,d10
2.34435,0.08068
2.59423,0.33661
2.8407,0.7
3.08339,1.01833
3.34431,1.28811
3.59035,1.4678
3.83996,1.60589
4.07492,1.75095
4.3428,1.86127
4.58846,1.87807
4.84106,1.72155
5.08615,1.49226

x,d35
2.0992,0.2857
2.34935,0.65948
2.59605,1.12338
2.84988,1.50061
3.33817,1.80801
3.84446,1.96634
4.34331,2.08309
4.59619,2.04788
4.84523,1.93989
5.10127,1.68632

x,d60
1.59646,0.07191
1.86087,0.26889
2.09609,0.52486
2.60005,1.26547

x,s03L
4.08925,0.01795
4.0929,0.01101
4.33854,0.0174
4.58432,0.08619
4.84123,0.2104
5.09475,0.45246

x,s03H
4.0902,0.43039
4.33952,0.44371
4.58528,0.5021
4.83478,0.59167
5.0917,0.71934

x,s05L
3.08836,-0.00413
3.34138,0.01958
3.59437,0.03289
3.84037,0.19525
4.08677,0.53438
4.34056,0.89082
4.59045,1.15022
4.8399,1.21899
5.09269,1.14912

x,s05H
3.08859,0.09292
3.33807,0.17555
3.59124,0.26858
3.83736,0.47947
4.08729,0.75966
4.34092,1.04678
4.59079,1.29925
4.83652,1.34377
5.09657,1.23922

x,s10L
2.34056,0.02523
2.59392,0.20144
2.83673,0.5683
3.09052,0.9282
3.34411,1.20493
3.59393,1.43313
3.83989,1.57817
4.08221,1.7336
4.33905,1.82662
4.5884,1.85381
4.84471,1.71461
5.08614,1.48533

x,s10H
2.34423,0.02869
2.59403,0.24996
2.83685,0.62029
3.09293,0.97326
3.34191,1.24909
3.59866,1.47946
3.84748,1.62359
4.0819,1.77173
4.34285,1.88592
4.58853,1.90926
4.83748,1.75968
5.07885,1.50614
