x,fl08
0.56091,0.17925
0.59183,0.40913
0.62339,0.54913
0.65332,0.6523
0.68635,0.72777
0.72405,0.78703
0.76252,0.83244
0.79864,0.88482
0.83786,0.90949
0.87551,0.93188
0.91784,0.94958

x,fl09
0.52558,0.13377
0.54461,0.2763
0.56908,0.39109
0.59511,0.50585
0.62269,0.60675
0.65182,0.69611
0.68093,0.76934
0.71546,0.80331
0.75079,0.84647
0.78922,0.87116
0.86059,0.9114
0.89588,0.93152
0.9296,0.95168
0.96412,0.98104

x,fl10
0.72303,0.63267
0.75064,0.75431
0.77659,0.81377
0.80643,0.85012
0.82999,0.88658
0.85978,0.89989
0.88802,0.91784
0.91627,0.94269
0.94527,0.95141
0.9743,0.97625
1.02679,0.96843

x,fl11
0.60877,0.21989
0.6278,0.36703
0.6515,0.48644
0.67283,0.59897
0.69804,0.6884
0.72483,0.7801
0.79395,0.88951
0.82769,0.92118
0.86377,0.9459
0.89984,0.96141
0.93357,0.98387
0.9712,0.99704
0.99863,1.00348
1.0386,1.0051
1.07229,1.00221

x,fl12
0.65251,0.63389
0.68317,0.69557
0.7115,0.77572
0.74444,0.7982
0.78053,0.82292
0.81117,0.87999
0.85122,0.9323
0.88653,0.96625
0.92338,0.98404
0.9618,0.99951
1.03233,1.00751
1.07696,0.986
1.10044,0.96716
1.14191,0.92958

x,fp08
0.84897,-0.00084
0.85993,-0.00564
0.88268,0.0124
0.947,0.05276
0.9807,0.0614
1.0113,0.08391
1.04188,0.10181
1.07013,0.12897
1.10546,0.17445
1.13695,0.26837
1.17165,0.41063
1.19785,0.62907

x,fp09
0.91164,-0.01114
0.94143,-0.00014
0.97827,0.00614
1.00336,0.01722
1.03316,0.03514
1.0669,0.06912
1.09517,0.1055

x,fp10
0.93984,-0.01394
0.96492,-0.01206
0.98999,-0.0125
1.01587,0.00088
1.04566,0.01188
1.05976,0.00934
1.0817,0.01126
1.10521,0.01085
1.12717,0.0243
1.15154,0.07918

x,fp11
1.0096,-0.00132
1.048,0.00263
1.08404,-0.0003
1.11225,0.00612
1.14358,-0.00363
1.16633,0.01441
1.19219,0.01857

x,fp12
0.9618,-0.00049
0.99706,-0.0034
1.02919,0.00526
1.06916,0.00687
1.09502,0.00873
1.11854,0.01523
1.14753,0.01704
1.17575,0.02807
1.20321,0.04603
