x,fpe
1.95531,7.5e-05
2.22048,0.016234
2.22795,0.00462
2.27674,0.001085
2.35908,0.004115
2.37989,0.016234
2.41854,0.019769
2.46491,0.024313
2.49535,0.004115
2.50103,0.030374
2.54168,0.006135
2.54199,0.021283
2.56017,0.030374
2.60917,0.037443
2.61479,0.060672
2.62901,0.00159
2.64848,0.073801
2.6864,0.041988
2.68874,0.030879
2.76087,0.037443
2.7791,0.048552
2.9442,0.074811
2.96165,0.048047
2.97688,0.038453
2.99587,0.086931
3.00143,0.10713
3.00262,0.039463
3.03997,0.10612
3.05431,0.052592
3.05487,0.079861
3.06501,0.072791
3.11907,0.075821
3.12369,0.050572
3.2358,0.126319
3.31308,0.132884
3.32294,0.11218
3.32507,0.090466
3.37278,0.160658
3.40605,0.153083
3.45472,0.143994
3.47468,0.239939
3.50144,0.165202
3.52716,0.165707
3.5626,0.138438
3.56557,0.158133
3.6641,0.198531
3.68855,0.262159
3.78283,0.34649
3.87357,0.257109
3.88993,0.302556
3.89805,0.322251
3.96514,0.333865
3.99746,0.279832
