x,fal
2.2101,0.83806
2.21555,0.92308
2.22647,0.80162
2.28104,0.79757
2.36016,0.92713
2.37653,0.89879
2.42019,0.89069
2.4693,0.87584
2.49659,0.93117
2.53479,1.00135
2.53752,0.85425
2.56207,1.0027
2.60846,1.0027
2.6221,1.0027
2.63302,1.0027
2.64939,1.0027
2.68486,0.96761
2.69031,1.0027
2.75853,1.00135
2.77763,0.9919
2.79127,0.91093
2.794,0.95007
2.83765,0.91363
2.84584,0.89204
2.8513,0.88394
2.85948,0.98111
2.87585,0.8448
2.87858,0.99865
2.88677,0.93522
2.8895,0.91228
2.91405,0.90418
3.01228,0.8637
3.03138,0.91903
3.11323,0.66802
3.15962,0.76383
3.16508,0.64507
3.21146,0.90283
3.21692,0.81646
3.2251,0.69501
3.2633,0.75439
3.27149,0.65857
3.33424,0.75034
3.36971,0.79487
3.39973,0.61538
3.41883,0.62348
3.4734,0.47908
3.5307,0.63698
3.62619,0.52497
3.74079,0.39676
3.74352,0.31579
3.78718,0.59514
3.86085,0.46019
3.87176,0.36572
